split,image,video,seconds,kind,box
train,round3_smoke_positive_000_orig.jpg,연기.mp4,37.50,smoke_positive,"(345, 55, 430, 150)"
train,round3_smoke_positive_000_bright.jpg,연기.mp4,37.50,smoke_positive,"(345, 55, 430, 150)"
train,round3_smoke_positive_000_dark.jpg,연기.mp4,37.50,smoke_positive,"(345, 55, 430, 150)"
train,round3_smoke_positive_000_soft.jpg,연기.mp4,37.50,smoke_positive,"(345, 55, 430, 150)"
train,round3_smoke_positive_001_orig.jpg,연기.mp4,37.75,smoke_positive,"(np.int64(342), np.int64(52), np.int64(432), np.int64(150))"
train,round3_smoke_positive_001_bright.jpg,연기.mp4,37.75,smoke_positive,"(np.int64(342), np.int64(52), np.int64(432), np.int64(150))"
train,round3_smoke_positive_001_dark.jpg,연기.mp4,37.75,smoke_positive,"(np.int64(342), np.int64(52), np.int64(432), np.int64(150))"
train,round3_smoke_positive_001_soft.jpg,연기.mp4,37.75,smoke_positive,"(np.int64(342), np.int64(52), np.int64(432), np.int64(150))"
train,round3_smoke_positive_002_orig.jpg,연기.mp4,38.00,smoke_positive,"(np.int64(340), np.int64(50), np.int64(435), np.int64(150))"
train,round3_smoke_positive_002_bright.jpg,연기.mp4,38.00,smoke_positive,"(np.int64(340), np.int64(50), np.int64(435), np.int64(150))"
train,round3_smoke_positive_002_dark.jpg,연기.mp4,38.00,smoke_positive,"(np.int64(340), np.int64(50), np.int64(435), np.int64(150))"
train,round3_smoke_positive_002_soft.jpg,연기.mp4,38.00,smoke_positive,"(np.int64(340), np.int64(50), np.int64(435), np.int64(150))"
train,round3_smoke_positive_003_orig.jpg,연기.mp4,38.25,smoke_positive,"(np.int64(338), np.int64(45), np.int64(439), np.int64(151))"
train,round3_smoke_positive_003_bright.jpg,연기.mp4,38.25,smoke_positive,"(np.int64(338), np.int64(45), np.int64(439), np.int64(151))"
train,round3_smoke_positive_003_dark.jpg,연기.mp4,38.25,smoke_positive,"(np.int64(338), np.int64(45), np.int64(439), np.int64(151))"
train,round3_smoke_positive_003_soft.jpg,연기.mp4,38.25,smoke_positive,"(np.int64(338), np.int64(45), np.int64(439), np.int64(151))"
val,round3_smoke_positive_004_orig.jpg,연기.mp4,38.50,smoke_positive,"(np.int64(335), np.int64(40), np.int64(442), np.int64(152))"
train,round3_smoke_positive_005_orig.jpg,연기.mp4,38.75,smoke_positive,"(np.int64(332), np.int64(35), np.int64(446), np.int64(154))"
