epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0153,1.51671,2.83262,1.37881,0.66149,0.57739,0.61161,0.31159,1.68102,1.36556,1.40966,9.78723e-05,9.78723e-05,0.0674738
2,19.0969,1.40734,2.6301,1.28275,0.68676,0.61999,0.64883,0.33926,1.61162,1.28692,1.32823,0.000191606,0.000191606,0.0342342
3,25.5274,1.24732,1.89396,1.15726,0.72776,0.68278,0.70489,0.37157,1.54671,1.1396,1.29287,0.000279007,0.000279007,0.000988227
4,33.2618,1.1563,1.40906,1.09108,0.74268,0.67979,0.72209,0.39275,1.53721,1.09928,1.27464,0.0002715,0.0002715,0.0002715
5,39.7426,1.10297,1.32777,1.06589,0.7514,0.66278,0.71441,0.39184,1.54221,1.09219,1.27955,0.000262,0.000262,0.000262
6,47.535,1.07842,1.27579,1.06281,0.71866,0.67016,0.70331,0.39328,1.54735,1.10662,1.28401,0.0002525,0.0002525,0.0002525
7,53.9802,1.06608,0.9392,1.0468,0.737,0.68441,0.7117,0.3918,1.54788,1.0949,1.29923,0.000243,0.000243,0.000243
8,61.6946,1.03062,0.91284,1.02173,0.72401,0.70693,0.71899,0.39502,1.52881,1.0677,1.28869,0.0002335,0.0002335,0.0002335
9,68.0682,1.03779,0.76514,1.01306,0.71445,0.67489,0.70297,0.38151,1.56273,1.09311,1.30211,0.000224,0.000224,0.000224
10,75.696,0.99379,0.75506,1.00366,0.71458,0.68424,0.70939,0.3817,1.56227,1.11118,1.30401,0.0002145,0.0002145,0.0002145
11,82.2127,0.97245,0.69191,0.99861,0.79064,0.64173,0.72151,0.39342,1.54352,1.0805,1.28495,0.000205,0.000205,0.000205
12,90.0216,0.96089,0.70513,1.0016,0.74911,0.68136,0.71759,0.39074,1.54598,1.09176,1.2932,0.0001955,0.0001955,0.0001955
13,96.7533,0.94691,0.65764,0.98564,0.73202,0.68942,0.71089,0.38525,1.5562,1.08252,1.29639,0.000186,0.000186,0.000186
14,104.09,0.92877,0.64465,0.97827,0.75862,0.67279,0.71483,0.38775,1.55702,1.07327,1.29927,0.0001765,0.0001765,0.0001765
15,111.07,0.91391,0.62119,0.96848,0.72255,0.6846,0.71766,0.38739,1.55984,1.07064,1.29513,0.000167,0.000167,0.000167
16,117.954,0.90911,0.61615,0.97006,0.75725,0.65579,0.71215,0.38527,1.57381,1.05862,1.31114,0.0001575,0.0001575,0.0001575
