epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.14268,2.08684,2.05977,1.75779,0.50062,0.5014,0.54174,0.22328,1.90185,3.61887,1.76214,0.000153846,0.000153846,0.0693846
2,5.01078,1.83109,1.75279,1.55859,0.39031,0.25,0.32933,0.14551,1.84897,3.04138,1.79734,0.000310363,0.000310363,0.0362078
3,6.82149,1.63889,1.64396,1.42225,0.78637,0.375,0.47933,0.20283,2.23844,3.36296,2.10278,0.000456325,0.000456325,0.00302043
4,9.50262,1.60291,1.50421,1.42463,0.92367,0.5,0.55955,0.21214,2.20757,2.41575,1.95823,0.0004525,0.0004525,0.0004525
5,11.8041,1.55828,1.62048,1.3878,0.92832,0.875,0.88211,0.35127,2.09944,1.89362,1.84302,0.000436667,0.000436667,0.000436667
6,13.7202,1.54354,1.33607,1.38993,0.98134,0.875,0.88256,0.31466,2.30781,1.86021,2.00572,0.000420833,0.000420833,0.000420833
7,15.5435,1.52121,1.31113,1.32782,0.9773,0.875,0.875,0.28961,2.59428,2.01431,2.12976,0.000405,0.000405,0.000405
8,17.3486,1.5047,1.3564,1.33273,0.98246,0.875,0.875,0.31515,2.56523,1.90706,2.10514,0.000389167,0.000389167,0.000389167
9,19.1463,1.43274,1.27842,1.28284,0.98685,0.875,0.875,0.39913,2.42003,1.73553,1.98971,0.000373333,0.000373333,0.000373333
10,21.1373,1.42978,1.29315,1.26784,0.98531,0.875,0.875,0.38514,2.39001,1.72372,1.95088,0.0003575,0.0003575,0.0003575
11,24.2248,1.42626,1.2265,1.30013,0.98216,0.875,0.875,0.38612,2.46429,1.83123,2.00519,0.000341667,0.000341667,0.000341667
12,26.1061,1.37855,1.20593,1.25174,0.97683,0.875,0.875,0.39889,2.49077,1.82685,1.9432,0.000325833,0.000325833,0.000325833
13,27.9288,1.38226,1.21955,1.2323,0.96865,0.875,0.875,0.39598,2.39888,1.97084,1.83886,0.00031,0.00031,0.00031
14,29.741,1.34471,1.1093,1.19162,0.98209,0.875,0.8845,0.40807,2.32795,1.62779,1.84747,0.000294167,0.000294167,0.000294167
15,31.637,1.233,1.06419,1.1601,0.98724,0.875,0.875,0.39533,2.32655,1.35677,1.86807,0.000278333,0.000278333,0.000278333
16,33.4167,1.27009,1.07952,1.17582,0.98638,0.875,0.88222,0.41004,2.24217,1.30067,1.78606,0.0002625,0.0002625,0.0002625
17,35.9538,1.14378,0.95987,1.10733,0.98307,0.875,0.88176,0.40518,2.23226,1.39173,1.76336,0.000246667,0.000246667,0.000246667
18,38.3429,1.22206,1.01193,1.12765,0.98695,0.875,0.875,0.38505,2.4386,1.40241,1.96252,0.000230833,0.000230833,0.000230833
19,40.1972,1.18404,1.00478,1.1193,0.99232,0.875,0.875,0.3575,2.52435,1.45667,2.12461,0.000215,0.000215,0.000215
20,42.0153,1.24527,1.00562,1.16369,0.9873,0.875,0.875,0.3791,2.40256,1.36566,1.95853,0.000199167,0.000199167,0.000199167
21,43.8429,1.09426,0.95719,1.08619,0.98473,0.875,0.875,0.412,2.2701,1.31596,1.81389,0.000183333,0.000183333,0.000183333
22,45.6751,1.14255,1.01306,1.10398,0.98481,0.875,0.875,0.3995,2.37078,1.33102,1.8894,0.0001675,0.0001675,0.0001675
23,47.6525,1.1864,0.95203,1.11352,0.98556,0.875,0.87879,0.33788,2.71695,1.42511,2.25307,0.000151667,0.000151667,0.000151667
24,50.5525,1.15673,0.97675,1.08462,0.98267,0.875,0.875,0.3375,2.76824,1.42346,2.33813,0.000135833,0.000135833,0.000135833
25,52.3921,1.14628,0.89294,1.07944,0.9827,0.875,0.875,0.325,2.78935,1.3655,2.33478,0.00012,0.00012,0.00012
26,55.4582,0.99578,0.83788,1.03786,0.9816,0.875,0.875,0.337,2.75237,1.36698,2.27901,0.000104167,0.000104167,0.000104167
27,57.2525,1.01877,0.79381,1.03696,0.98176,0.875,0.875,0.337,2.70166,1.3607,2.19506,8.83333e-05,8.83333e-05,8.83333e-05
28,59.0207,0.9822,0.78421,1.00757,0.97996,0.875,0.875,0.3615,2.66753,1.36542,2.14504,7.25e-05,7.25e-05,7.25e-05
29,60.9957,0.96765,0.74891,1.01181,0.97924,0.875,0.875,0.36825,2.66664,1.38563,2.12718,5.66667e-05,5.66667e-05,5.66667e-05
30,63.8677,0.98895,0.77304,1.02265,0.97936,0.875,0.875,0.35625,2.69266,1.39224,2.16296,4.08333e-05,4.08333e-05,4.08333e-05
